nr,certificate_number,registration_date,name,administrator,location,county
618,680,2013-06-27,Vaideeni - Valea Seacă - Vârful Teiș - Vaideeni,Consiliul Județean Vâlcea,Munții Căpățânii,Vâlcea
619,681,2013-06-27,Vaideeni - Brădățeaua Mică - Dealul Capela - Brădățeaua Mare - Vaideeni,Consiliul Județean Vâlcea,Munții Căpățânii,Vâlcea
620,682,2013-06-27,Vârful Nedeia - Curmătura Funicel - Vârful Ursu - Curmătura Rodeanu - Vârful Zmeurăt -,Consiliul Județean Vâlcea,Munții Căpățânii,Vâlcea
621,683,2013-08-06,Șaua Vârtop - Groapa Ruginoasa - Pietrele Negre,Consiliul Județean Bihor,Munții Bihor - Vlădeasa,Bihor
625,687,2013-08-06,Stâna de Vale - Moara Dracului,Consiliul Județean Bihor,Munții Bihor - Vlădeasa,Bihor
626,688,2014-03-19,Circuitul Peștera din Mina Farcu,Consiliul Județean Bihor,Munții Pădurea Craiului,Bihor
627,689,2014-06-16,Complex Turistic Cheile Buții - Dâlma Mare - Vârful Pleșa - Vârful Piule - Șaua Scorota - Cabana Buta,Consiliul Județean Hunedoara,Masivul Retezatul Mic,Hunedoara
629,691,2014-06-16,Campușel - Scocul Scorotei - Stâna Scorota - Buta Mica - Cabana Buta,Consiliul Județean Hunedoara,Masivul Retezat,Hunedoara
633,695,2014-06-16,Ohaba Ponor - Cheile Șura Mare - Peștera Ponorici - Peștera Cioclovina - Luncani - Boșorod,Consiliul Județean Hunedoara,Masivul Șureanu,Hunedoara
634,696,2014-06-16,Baru - Valea Streiului - Vârful Lola - Vârful Bulzu - Vârful Porumbelul Mare,Consiliul Județean Hunedoara,Masivul Șureanu,Hunedoara
637,699,2014-06-16,Podul Gerosu - Dealul Muncelului - Cetatea Fețele Albe - Valea Albă,Consiliul Județean Hunedoara,Masivul Șureanu,Hunedoara
639,701,2014-07-25,Culmea Bran - Culmea Măgurii - Fântâna lui Botorog,Administrația Parcului Național Piatra Craiului RA,Masivul Piatra Craiului,Brașov
640,702,2014-07-25,Tohănița - Șaua Măgura - Satul Măgura - Fântâna lui Botorog,Administrația Parcului Național Piatra Craiului RA,Masivul Piatra Craiului,Brașov
642,704,2014-07-25,Cabana Curmătura - Padinile Frumoase - Vârful Ascuțit,Administrația Parcului Național Piatra Craiului RA,Masivul Piatra Craiului,Brașov
643,705,2014-09-09,Stațiunea Durău - Poiana Viezuri - Cascada Duruitoarea,Consiliul Județean Neamț,Masivul Ceahlău,Neamț
644,706,2014-09-09,Stațiunea Durău - Piciorul lui Bucur - Cascada Duruitoarea,Consiliul Județean Neamț,Masivul Ceahlău,Neamț
645,707,2014-09-09,Stațiunea Durău - Cabana Fântânele - Vârful Toaca - Cabana Dochia,Consiliul Județean Neamț,Masivul Ceahlău,Neamț
